Gender,College,Course,How important do you think cybersecurity is in today's digital age?,Did you attend the cybersecurity workshop?,How effective do you think the workshop was in enhancing your understanding of cybersecurity?,Which specific aspects or topics covered in the workshop did you find most valuable in enhancing your understanding of cybersecurity? (Select all that apply),Have you taken any actions or implemented any practices related to cybersecurity that you learned from the workshop?,How confident are you in your ability to practice good cybersecurity measures after attending the workshop?,Do you have any suggestions for improving future cybersecurity workshops or awareness initiatives for first-year engineering students? (Open-ended),,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No comments la,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,4,Safe online practices;Cybersecurity tools and software,Yes,4,Nil,,,,,,,,,,,,,,
Female,CST,BE in Water Resources Engineering ,5,Yes,3,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,3,No comments ,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Real-life case studies;Cyber ethics and responsibility,Yes,4,none,,,,,,,,,,,,,,
Male,CST,BE in Water Resources Engineering ,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,4,NA,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,Nope,,,,,,,,,,,,,,
Female,CST,BE in Water Resources Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,4,No,,,,,,,,,,,,,,
Male,CST,BE in Water Resources Engineering ,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,3,No comment ,,,,,,,,,,,,,,
Female,CST,BE in Water Resources Engineering ,5,Yes,3,Real-life case studies,Yes,5,None,,,,,,,,,,,,,,
Other,CST,BE in Instrumentation and Control Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,5,Thank you,,,,,,,,,,,,,,
Male,CST,BE in Water Resources Engineering ,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,Hope Cuber security awareness continous ,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No.,,,,,,,,,,,,,,
Female,CST,BE in Water Resources Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Real-life case studies;Cyber ethics and responsibility,No,5,None,,,,,,,,,,,,,,
Female,CST,BE in Water Resources Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,Yes,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Safe online practices,No,5,No ,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,I don't have anything to say right now,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,4,No,5,Safe online practices;Cyber ethics and responsibility,Yes,4,No,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No ,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,No,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,Teach cyber security to students,,,,,,,,,,,,,,
Female,CST,BE in Water Resources Engineering ,5,Yes,3,Cybersecurity tools and software,No,3,No as such ,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,3,Cybersecurity tools and software,No,3,No,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,No comments,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,No,4,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,3,Nothing ,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,N9 comments ,,,,,,,,,,,,,,
Female,CST,BE in Instrumentation and Control Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,4,Please provide anti-virus software for free,,,,,,,,,,,,,,
Female,CST,BE in Water Resources Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,No,5,.,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,4,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No.,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,.,,,,,,,,,,,,,,
Male,CST,BE in Instrumentation and Control Engineering,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,Nill,,,,,,,,,,,,,,
Female,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,5,No,,,,,,,,,,,,,,
Male,CST,BE in Civil Engineering ,5,Yes,5,Cyber threats and vulnerabilities;Safe online practices;Cybersecurity tools and software;Real-life case studies;Cyber ethics and responsibility,Yes,4,No comments ,,,,,,,,,,,,,,
